City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,jayapura,-2.5333,140.7,27.66,87,100,1.53,ID,1699742099
174,bembereke,10.2283,2.6634,24.49,37,17,0.74,BJ,1699742099
175,jardim,-21.4803,-56.1381,32.96,26,58,2.25,BR,1699742063
176,santo antonio da platina,-23.295,-50.0772,27.31,34,4,1.26,BR,1699742101
177,pangody,65.85,74.4859,0.19,98,100,6.35,RU,1699742023
178,arkhara,49.4212,130.0842,-20.79,98,19,1.52,RU,1699742101
179,machico,32.7,-16.7667,22.06,82,75,3.6,PT,1699742101
180,aasiaat,68.7098,-52.8699,-10.09,80,100,4.71,GL,1699742101
181,lubang,13.8584,120.124,28.36,76,98,10.55,PH,1699742101
182,ancud,-41.8697,-73.8203,7.74,63,36,8.15,CL,1699741969
183,vorgashor,67.5833,63.95,-6.57,97,100,4.42,RU,1699742102
184,new plymouth,-39.0667,174.0833,16.02,59,6,6.56,NZ,1699742102
185,newman,37.3138,-121.0208,22.86,34,57,1.79,US,1699742102
186,chibougamau,49.9168,-74.3659,-4.21,86,100,1.54,CA,1699741947
187,as sulayyil,20.4607,45.5779,19.14,45,11,3.25,SA,1699742103
188,talcahuano,-36.7167,-73.1167,11.82,58,20,6.69,CL,1699742103
189,constitucion,-35.3333,-72.4167,10.76,74,99,4.74,CL,1699742103
190,arno,60.1167,18.6333,5.99,97,41,3.16,SE,1699742104
191,villa ojo de agua,-29.5,-63.6938,26.41,57,0,4.16,AR,1699742104
192,sur,22.5667,59.5289,25.7,54,98,3.11,OM,1699742104
193,vila franca do campo,37.7167,-25.4333,19.93,99,11,3.24,PT,1699742104
194,pont rouge,48.8833,-72.0825,-1.84,86,100,3.45,CA,1699742104
195,nelson bay,-32.7167,152.15,22.78,84,20,1.79,AU,1699742105
196,swift current,50.2834,-107.8014,7.45,61,0,7.2,CA,1699742105
197,oodweyne,9.4092,45.064,22.29,68,99,3.9,SO,1699742105
198,nichinan,31.6,131.3667,14.82,75,100,3.44,JP,1699742105
199,bodaybo,57.8506,114.1933,-20.91,100,77,0.83,RU,1699742106
200,bekobod,40.2208,69.2697,9.83,82,67,2.23,UZ,1699742106
201,noumea,-22.2763,166.4572,25.99,99,21,8.26,NC,1699741809
202,fort frances,48.5999,-93.4003,0.12,82,86,4.63,CA,1699742106
203,khao yoi,13.2403,99.8243,24.21,93,100,2.33,TH,1699742106
204,san antonio de pale,-1.4014,5.6325,26.19,83,100,4.48,GQ,1699742106
205,whistler,50.1164,-122.9695,5.66,81,75,1.54,CA,1699742101
206,las lajitas,-24.6833,-64.25,31.29,38,32,0.63,AR,1699742107
207,kikwit,-5.041,18.8162,21.19,98,99,0.42,CD,1699742107
208,constantia,44.1833,28.65,9.38,62,43,12.08,RO,1699741999
209,estepona,36.4276,-5.1459,17.9,77,99,3.56,ES,1699741847
210,nuku'alofa,-21.1333,-175.2,24.19,78,100,6.69,TO,1699742107
211,paragominas,-2.9667,-47.4833,28.37,53,67,1.47,BR,1699742107
212,iskateley,67.6803,53.1512,-8.88,95,20,3.13,RU,1699742076
213,severo-yeniseyskiy,60.3725,93.0408,-6.9,95,100,0.89,RU,1699742108
214,tefe,-3.3542,-64.7114,30.06,66,20,0.0,BR,1699742108
215,longyearbyen,78.2186,15.6401,-2.09,74,100,9.77,SJ,1699742108
216,alice springs,-23.7,133.8833,26.75,54,4,3.6,AU,1699742108
217,crane,31.3974,-102.3501,14.73,67,78,3.42,US,1699742108
218,vrontados,38.4089,26.1328,20.25,83,100,8.72,GR,1699742108
219,santa teresa,10.2341,-66.6631,24.45,98,100,1.05,VE,1699741841
220,loen,7.7601,168.2307,27.81,82,100,7.52,MH,1699742109
221,forster,-32.1667,152.5167,26.88,65,35,2.85,AU,1699742109
222,tari,12.4086,4.4914,27.0,21,8,1.9,NG,1699742109
